Date,All,O+,O-,B+,B-,A+,A-,AB+,AB-
11/22/18,64,14,0,11,0,24,0,15,0
11/23/18,38,9,0,10,0,14,0,5,0
11/24/18,64,15,0,20,0,19,0,9,1
11/25/18,39,12,0,11,0,16,0,0,0
11/26/18,37,11,0,11,0,13,0,2,0
11/27/18,55,17,0,21,0,13,0,4,0
11/28/18,43,14,0,14,0,11,0,4,0
11/29/18,64,27,0,21,0,13,0,3,0
11/30/18,32,8,0,12,0,5,0,7,0
12/1/2018,70,16,0,24,0,23,1,6,0
12/2/2018,78,21,0,26,0,27,0,4,0
12/3/2018,52,15,0,12,1,16,0,8,0
12/4/2018,37,7,0,14,0,12,0,4,0
12/5/2018,37,5,0,19,0,11,0,2,0
12/6/2018,71,22,0,26,0,16,0,7,0
12/7/2018,38,11,0,9,0,14,0,4,0
12/8/2018,62,7,0,27,0,20,0,8,0
12/9/2018,57,19,0,15,0,17,0,6,0
12/10/2018,57,20,0,11,0,19,1,6,0
12/11/2018,65,15,0,21,0,21,0,8,0
12/12/2018,71,25,0,16,0,21,1,8,0
12/13/18,70,18,0,23,0,14,0,15,0
12/14/18,45,12,0,11,0,15,0,7,0
12/15/18,33,8,0,11,0,11,0,3,0
12/16/18,55,11,0,18,0,20,0,6,0
12/17/18,48,13,0,12,0,17,0,6,0
12/18/18,48,17,0,15,0,13,0,3,0
12/19/18,58,14,0,18,0,16,0,10,0
12/20/18,52,11,0,17,0,19,0,4,1
12/21/18,68,17,0,21,0,19,0,11,0
12/22/18,55,12,0,19,0,14,0,10,0
12/23/18,64,16,0,21,0,19,0,8,0
12/24/18,51,17,0,10,0,17,0,7,0
12/25/18,59,17,0,15,0,16,0,11,0
12/26/18,33,9,0,9,0,13,0,2,0
12/27/18,64,15,0,25,0,19,0,5,0
12/28/18,63,17,1,17,1,18,0,9,0
12/29/18,43,8,0,11,0,18,0,6,0
12/30/18,34,8,0,10,1,9,0,6,0
12/31/18,34,6,0,13,0,9,0,6,0
1/1/2019,33,4,0,14,0,9,0,6,0
1/2/2019,60,18,0,15,0,21,0,6,0
1/3/2019,54,14,0,11,0,22,1,6,0
1/4/2019,45,18,0,13,0,8,0,6,0
1/5/2019,44,12,0,18,0,8,0,6,0
1/6/2019,53,14,0,17,0,16,0,6,0
1/7/2019,28,6,0,10,0,5,0,7,0
1/8/2019,48,15,0,15,0,13,0,5,0
1/9/2019,59,17,0,22,0,15,0,5,0
1/10/2019,65,12,0,20,0,27,0,6,0
1/11/2019,35,8,0,8,0,15,0,4,0
1/12/2019,33,11,0,9,0,11,0,2,0
01/13/19,58,17,0,9,0,25,0,7,0
01/14/19,33,6,0,15,0,6,0,6,0
01/15/19,37,8,0,19,0,6,0,4,0
01/16/19,63,11,0,20,0,26,0,6,0
01/17/19,47,17,0,11,0,17,0,2,0
01/18/19,28,13,0,7,0,7,0,1,0
01/19/19,66,14,0,22,0,26,0,4,0
01/20/19,48,12,0,13,0,15,0,8,0
01/21/19,69,18,0,15,1,24,0,11,0
01/22/19,66,23,0,22,0,18,0,3,0
01/23/19,36,12,0,4,0,16,0,4,0
01/24/19,32,10,0,12,0,8,0,2,0
01/25/19,53,18,0,16,0,12,0,7,0
01/26/19,69,20,0,18,0,24,0,7,0
01/27/19,65,20,0,20,0,16,0,9,0
01/28/19,45,15,0,13,0,14,0,3,0
1/29/2019,34,9,0,15,0,8,0,2,0
1/30/2019,40,7,0,11,0,17,0,5,0
1/31/2019,76,22,0,23,0,23,0,8,0
2/1/2019,39,11,0,16,0,9,0,3,0
2/2/2019,49,15,0,10,0,21,0,3,0
2/3/2019,52,12,0,24,0,11,0,5,0
2/4/2019,55,17,1,13,0,18,0,6,0
2/5/2019,64,23,0,15,0,22,0,4,0
2/6/2019,32,15,0,9,0,6,0,2,0
2/7/2019,30,8,0,8,0,9,0,5,0
2/8/2019,63,15,0,17,0,19,0,12,0
2/9/2019,39,10,0,7,0,15,0,7,0
02/10/19,64,16,0,19,0,24,0,5,0
02/11/19,46,13,0,10,0,20,0,3,0
02/12/19,42,16,0,10,0,13,0,3,0
02/13/19,75,14,1,23,0,30,0,7,0
02/14/19,75,26,0,16,0,30,0,3,0
02/15/19,72,23,0,14,0,20,0,14,1
02/16/19,59,16,0,22,0,18,0,3,0
02/17/19,48,14,0,13,0,19,0,2,0
02/18/19,29,7,0,7,0,12,0,3,0
02/19/19,70,15,0,22,0,24,0,9,0
02/20/19,43,13,0,10,0,14,0,6,0
02/21/19,47,12,0,11,0,17,0,7,0
02/22/19,66,19,0,17,0,20,0,10,0
02/23/19,70,20,0,18,0,25,0,7,0
02/24/19,71,22,0,20,0,21,0,8,0
02/25/19,42,6,0,9,0,22,0,5,0
02/26/19,70,18,0,25,0,19,0,8,0
02/27/19,62,16,0,19,0,21,0,6,0
02/28/19,34,13,0,9,0,9,0,3,0
3/1/2019,48,17,0,11,1,13,0,6,0
3/2/2019,30,8,1,8,0,10,0,3,0
3/3/2019,31,12,0,10,0,9,0,0,0
3/4/2019,56,12,0,15,0,23,0,6,0
3/5/2019,49,15,0,10,0,14,0,10,0
3/6/2019,56,13,0,15,0,21,0,7,0
3/7/2019,60,16,0,18,0,17,1,8,0
3/8/2019,62,17,0,22,0,19,0,3,1
3/9/2019,39,16,0,6,0,13,0,4,0
3/10/2019,59,15,0,10,0,29,0,5,0
3/11/2019,70,20,0,28,0,14,0,8,0
3/12/2019,48,22,0,15,0,8,0,3,0
03/13/19,72,23,0,23,0,22,0,4,0
03/14/19,42,22,0,10,0,8,0,2,0
03/15/19,38,10,0,11,0,12,0,5,0
03/16/19,42,12,0,14,0,9,0,7,0
03/17/19,38,13,0,11,0,10,0,4,0
03/18/19,36,11,0,11,0,13,0,1,0
03/19/19,48,8,0,22,0,12,0,6,0
03/20/19,31,10,0,7,0,9,0,5,0
03/21/19,58,15,0,21,0,18,0,4,0
03/22/19,43,14,0,10,1,14,0,4,0
03/23/19,68,18,0,24,0,22,0,4,0
03/24/19,55,12,0,23,0,16,0,4,0
03/25/19,30,5,0,10,0,7,0,8,0
03/26/19,45,14,0,12,0,15,0,4,0
03/27/19,51,14,0,19,0,12,0,6,0
03/28/19,71,19,0,21,0,23,0,8,0
03/29/19,56,14,0,19,0,14,0,9,0
03/30/19,58,16,0,21,0,18,0,3,0
3/31/2019,72,17,0,26,0,19,0,10,0
4/1/2019,30,7,0,9,0,5,0,9,0
4/2/2019,38,11,0,10,0,10,0,7,0
4/3/2019,31,13,0,7,0,10,0,1,0
4/4/2019,36,7,0,16,0,10,0,3,0
4/5/2019,37,7,0,13,0,12,0,5,0
4/6/2019,38,10,0,15,0,6,0,7,0
4/7/2019,65,14,0,18,0,21,1,11,0
4/8/2019,66,21,0,21,0,20,0,4,0
4/9/2019,50,12,0,15,0,18,0,5,0
4/10/2019,71,22,1,22,0,17,0,9,0
4/11/2019,43,7,0,13,0,17,0,5,1
04/12/19,43,12,0,13,0,13,1,4,0
04/13/19,46,10,0,10,1,14,2,9,0
04/14/19,31,6,0,11,0,10,0,4,0
04/15/19,77,20,0,26,1,25,0,5,0
04/16/19,62,15,2,14,0,25,0,6,0
04/17/19,67,17,1,21,0,20,1,7,0
04/18/19,57,16,1,15,1,16,1,7,0
04/19/19,30,8,0,7,0,5,1,9,0
04/20/19,46,10,0,15,0,17,0,4,0
04/21/19,39,12,0,9,1,13,0,4,0
04/22/19,71,17,1,17,0,30,0,6,0
04/23/19,42,10,0,11,1,13,0,7,0
04/24/19,43,12,0,15,1,10,0,5,0
04/25/19,74,20,0,27,0,20,0,7,0
